Description,HPESKU,SKU Number,SKU Revision,BIOS/UEFI,Drive/Index/WimFile (MP),Drive/Index/WimFile (OS),Drive/Index/WimFile (Drv),Extra wim file1,Extra wim file2,Extra wim file3,Extra wim file4,Extra wim file5,Extra wim file6,Extra wim file7,DISMTYPE
MS WS19 (16 core) Std FIO UEFI en SW,HPESKU,P11420-001,103,UEFI,C:1:P114200D_100.wim,D:1:P114200D_00D.swm,E:1:P114200D_200.wim,NA,NA,NA,NA,NA,NA,NA,BUILTIN
MS WS19 (16 core) Std FIO UEFI fr SW,HPESKU,P11420-051,103,UEFI,C:1:P114205D_100.wim,D:1:P114205D_05D.swm,E:1:P114205D_200.wim,NA,NA,NA,NA,NA,NA,NA,BUILTIN
MS WS19 (16 core) Std FIO UEFI it SW,HPESKU,P11420-061,103,UEFI,C:1:P114206D_100.wim,D:1:P114206D_06D.swm,E:1:P114206D_200.wim,NA,NA,NA,NA,NA,NA,NA,BUILTIN
MS WS19 (16 core) Std FIO UEFI de SW,HPESKU,P11420-041,103,UEFI,C:1:P114204D_100.wim,D:1:P114204D_04D.swm,E:1:P114204D_200.wim,NA,NA,NA,NA,NA,NA,NA,BUILTIN
MS WS19 (16 core) Std FIO UEFI es SW,HPESKU,P11420-071,103,UEFI,C:1:P114207D_100.wim,D:1:P114207D_07D.swm,E:1:P114207D_200.wim,NA,NA,NA,NA,NA,NA,NA,BUILTIN
MS WS19 (16 core) Std FIO UEFI ja SW,HPESKU,P11420-191,103,UEFI,C:1:P11420CD_100.wim,D:1:P11420CD_19D.swm,E:1:P11420CD_200.wim,NA,NA,NA,NA,NA,NA,NA,BUILTIN
MS WS19 Ess FIO UEFI en SW,HPESKU,P11459-001,103,UEFI,C:1:P114590D_100.wim,D:1:P114590D_00D.swm,E:1:P114590D_200.wim,NA,NA,NA,NA,NA,NA,NA,BUILTIN
MS WS19 Ess FIO UEFI ja SW,HPESKU,P11459-191,103,UEFI,C:1:P11459CD_100.wim,D:1:P11459CD_19D.swm,E:1:P11459CD_200.wim,NA,NA,NA,NA,NA,NA,NA,BUILTIN
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Harddisk,FIRMWARE,SKU,,PROD,FLAV,Recovery,EFI/MP,MSR,OS,Driver,,,,,
HPEDISK,UEFI,P11420-001:103,,W2019,NA,0:PRI:499:NTFS:Rec:Recovery,0:EFI:1024:FAT32:C:System,0:MSR:16:0:0,0:PRI:32768:NTFS:D:Windows,0:PRI:10240:NTFS:E:Drivers,,,,,
HPEDISK,UEFI,NA,,W2019,ESS,0:PRI:499:NTFS:Rec:Recovery,0:EFI:1024:FAT32:C:System,0:MSR:16:0:0,0:PRI:61440:NTFS:D:Windows,0:PRI:10240:NTFS:E:Drivers,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,PROD,FLAV,,MS Rec,HPE Rec,,,,,,,,,,
RAM,W2019,STD,,32,0,,,,,,,,,,
RAM,W2019,ESS,,60,0,,,,,,,,,,
